Anime_ID,Title,Genres,Type,Episodes,Producers,Studios,Score
4479,Shitsurakuen,Hentai,OVA,2,"Digital Works, Y.O.U.C",Unknown,5.45
4480,Ryoujoku Guerrilla Kari 3,Hentai,OVA,2,Suzuki Mirano,Unknown,6.05
4481,Saiyuuki,Adventure,Movie,1,Unknown,Toei Animation,6.32
4483,Mahoutsukai ni Taisetsu na Koto: Natsu no Sora,"Slice of Life, Drama, Magic, Romance, Shounen",TV,12,"Geneon Universal Entertainment, TV Asahi",Hal Film Maker,7.29
4484,"Umi no Yami, Tsuki no Kage","Horror, Super Power, Drama, Romance, Shoujo",OVA,3,Movic,Magic Bus,6.01
4485,Kasei Yakyoku,"Historical, Drama, Romance",OVA,4,Tokuma Japan,Magic Bus,6.71
4486,Getter Robo G,"Action, Mecha, Sci-Fi, Shounen",TV,39,"Fuji TV, Dynamic Planning",Toei Animation,6.53
4487,Ebenbourg no Kaze,Hentai,OVA,2,NuTech Digital,Unknown,5.64
4488,Keraku-No-OH King of Pleasure,Hentai,OVA,3,NuTech Digital,Unknown,5.85
4489,Septem Charm Magical Kanan: SP Summer Camp,Hentai,Special,2,Lemon Heart,Unknown,5.88
4490,Soap no Moko-chan,Hentai,OVA,1,Unknown,Unknown,6.17
4491,Choisuji,Hentai,OVA,2,Animac,Blue Cat,6.17
4492,Seisen Gakuin,Hentai,OVA,1,"Jam, MS Pictures",Studio Jam,5.66
4493,Shameshrine Andorora,"Hentai, Sci-Fi",OVA,1,Obtain Future,Unknown,6.17
4494,Enyoku,Hentai,OVA,1,Milky Animation Label,Studio Jam,6.24
4495,Hyakkiyakou: Warashi,Hentai,OVA,1,MS Pictures,Unknown,5.36
4496,Zero Sum Game: Sex Crime,Hentai,OVA,1,Blue Eyes,Green Bunny,5.28
4497,Kijutsushi x Majutsushi: Osaka Tanteibu no Jikenbo,Hentai,OVA,1,Pink Pineapple,Unknown,5.02
4498,Ikenie,Hentai,OVA,1,Y.O.U.C,Unknown,5.54
4502,Stringendo+Accelerando Ultimatum Sera,Hentai,OVA,3,Pink Pineapple,Unknown,7.24
4503,Choujikuu Kidan Southern Cross,"Action, Sci-Fi, Drama, Mecha",TV,23,Big West,"Tatsunoko Production, Studio World",6.58
4504,Kinkyuu Hasshin Saver Kids,"Action, Sci-Fi, Adventure, Comedy, Mecha",TV,50,"TV Tokyo, Sotsu",Tokyo Movie Shinsha,6.5
4508,D.C.S.S: Da Capo Second Season Omake,"Harem, Comedy, Romance",Special,2,Unknown,feel.,6.62
4509,Captain Future: Kareinaru Taiyokei Race,"Action, Adventure, Sci-Fi",Special,1,Unknown,Unknown,6.02
4511,Hoero! Bun Bun,"Adventure, Slice of Life",TV,39,"TV Tokyo, Wako Productions",Unknown,6.36
4513,Hakujaden,"Adventure, Fantasy, Historical, Romance",Movie,1,Unknown,Toei Animation,6.15
4514,Seton Doubutsuki: Kuma no Ko Jacky,"Adventure, Historical, Drama",TV,26,Unknown,Nippon Animation,6.7
4515,Seton Doubutsuki: Risu no Banner,"Kids, Drama",TV,26,Unknown,Nippon Animation,6.56
4521,Watt Poe to Bokura no Ohanashi,"Adventure, Sci-Fi",OVA,1,"Konami, Pony Canyon",Unknown,6.11
4522,Bounty Hunter: The Hard,"Action, Police",OVA,1,Unknown,J.C.Staff,5.79
4524,Shenmue: The Movie,"Action, Game, Adventure, Martial Arts",Movie,1,Unknown,Unknown,6.08
4531,Dark Cat,"Action, Super Power, Supernatural, Demons, Horror",OVA,1,Nikkatsu,Unknown,3.38
4532,Taiyou no Yuusha Fighbird,"Action, Mecha, Sci-Fi",TV,48,Nagoya Broadcasting Network,Sunrise,6.69
4533,Uchuu Kazoku Carlvinson,"Comedy, Fantasy, Sci-Fi",OVA,1,Unknown,Doga Kobo,6.46
4534,Choujin Locke: Shinsekai Sentai,"Action, Sci-Fi, Super Power",OVA,2,Bandai,Nippon Animation,5.98
4535,Candy Boy: Nonchalant Talk of the Certain Twin Sisters in Daily Life,"Romance, School, Shoujo Ai",ONA,7,Half H.P Studio,AIC,6.87
4536,Muteki Robo Trider G7,"Comedy, Mecha, Sci-Fi, Space",TV,50,Sotsu,Sunrise,6.42
4537,Yagami-kun no Katei no Jijou,Comedy,OVA,3,Kitty Films,Production I.G,6.18
4540,Gundam: Mission to the Rise,"Action, Mecha, Sci-Fi",Special,1,Unknown,Sunrise,5.58
4541,Vicious,Hentai,OVA,2,Unknown,Unknown,5.88
4544,Wanghu Sim Cheong,Fantasy,Movie,1,SEK Studios,Unknown,Unknown
4547,RoboDz,Sci-Fi,TV,26,Unknown,Toei Animation,Unknown
4548,Yozakura Quartet,"Action, Magic, Comedy, Super Power, Supernatural, Shounen",TV,12,TBS,Nomad,6.84
4549,Hokuto no Ken: Raoh Gaiden Ten no Haoh,"Action, Drama, Martial Arts",TV,13,"Showgate, Index",Satelight,7.14
4550,Hyakko,"Comedy, School, Slice of Life",TV,13,Flex Comix,Nippon Animation,7.26
4551,Hakushaku to Yousei,"Adventure, Historical, Magic, Romance, Fantasy, Shoujo",TV,12,Unknown,Artland,7.28
4553,Sukima no Kuni no Polta,Fantasy,TV,13,Aniplex,Unknown,5.89
4554,Dokkiri Doctor,"Slice of Life, Comedy, School",TV,26,Unknown,Studio Pierrot,6.56
4555,Yakata Jukujo,Hentai,OVA,2,Digital Works,Y.O.U.C,6.08
4556,Mirai Choujuu Fobia,"Hentai, Horror",OVA,2,Unknown,Unknown,4.89
4557,Handle With Care..,Hentai,OVA,1,Milky Animation Label,Unknown,5.26
4558,Yukiyo Ichiya Monogatari,"Hentai, Historical",OVA,3,Schoolzone,Unknown,5.73
4560,Matou Kitan Zankan!,Hentai,OVA,2,"Pink Pineapple, AIC",Unknown,5.15
4561,Zoku Gosenzo San'e,"Hentai, Vampire",OVA,4,"AIC, Green Bunny",Unknown,5.5
4562,Chikan Juunin-tai The Animation,Hentai,OVA,5,Soft on Demand,Unknown,5.97
4563,Bakukyuu Hit! Crash B-Daman,"Game, Adventure, Kids",TV,50,Heewon Entertainment,SynergySP,6.01
